Total TSPLIB instances detected: 228
#################  NN Test on TSPLIB_Survey (ICAM style)  #################
TSPLIB folder: /public/home/bayp/exp_survey_202509/0_data_survey/survey_bench_tsp
-----------------------------------------------------------------
[1/228] Instance: fqm5087, dim: 5087, BKS: 13029, NN cost: 17874, GAP: 37.186%, time: 0.464s
[2/228] Instance: fht47608, dim: 47608, BKS: 125104, NN cost: 157173, GAP: 25.634%, time: 39.190s
[3/228] Instance: d2103, dim: 2103, BKS: 80450, NN cost: 86653, GAP: 7.710%, time: 0.098s
[4/228] Instance: ida8197, dim: 8197, BKS: 22338, NN cost: 27992, GAP: 25.311%, time: 1.119s
[5/228] Instance: pds2566, dim: 2566, BKS: 7643, NN cost: 9669, GAP: 26.508%, time: 0.138s
[6/228] Instance: xqc2175, dim: 2175, BKS: 6830, NN cost: 8696, GAP: 27.321%, time: 0.104s
[7/228] Instance: pr144, dim: 144, BKS: 58537, NN cost: 61652, GAP: 5.321%, time: 0.002s
[8/228] Instance: pka379, dim: 379, BKS: 1332, NN cost: 1835, GAP: 37.763%, time: 0.008s
[9/228] Instance: pr124, dim: 124, BKS: 59030, NN cost: 69297, GAP: 17.393%, time: 0.002s
[10/228] Instance: kroA100, dim: 100, BKS: 21282, NN cost: 27807, GAP: 30.660%, time: 0.001s
[11/228] Instance: nrw1379, dim: 1379, BKS: 56638, NN cost: 68964, GAP: 21.763%, time: 0.050s
[12/228] Instance: portcgen-10000-100002, dim: 10000, BKS: 33155424, NN cost: 43194281, GAP: 30.278%, time: 1.657s
[13/228] Instance: bby34656, dim: 34656, BKS: 99159, NN cost: 125019, GAP: 26.079%, time: 18.678s
[14/228] Instance: d493, dim: 493, BKS: 35002, NN cost: 41665, GAP: 19.036%, time: 0.011s
[15/228] Instance: ja9847, dim: 9847, BKS: 491924, NN cost: 665821, GAP: 35.350%, time: 1.596s
[16/228] Instance: dca1389, dim: 1389, BKS: 5085, NN cost: 6346, GAP: 24.798%, time: 0.051s
[17/228] Instance: fma21553, dim: 21553, BKS: 66527, NN cost: 81995, GAP: 23.251%, time: 7.096s
[18/228] Instance: ido21215, dim: 21215, BKS: 63517, NN cost: 78837, GAP: 24.120%, time: 6.946s
[19/228] Instance: u1060, dim: 1060, BKS: 224094, NN cost: 308980, GAP: 37.880%, time: 0.033s
[20/228] Instance: lta3140, dim: 3140, BKS: 9517, NN cost: 12048, GAP: 26.595%, time: 0.196s
[21/228] Instance: kroA200, dim: 200, BKS: 29368, NN cost: 35859, GAP: 22.102%, time: 0.003s
[22/228] Instance: fna52057, dim: 52057, BKS: 147789, NN cost: 186649, GAP: 26.294%, time: 46.512s
[23/228] Instance: pr439, dim: 439, BKS: 107217, NN cost: 131281, GAP: 22.444%, time: 0.009s
[24/228] Instance: dja1436, dim: 1436, BKS: 5257, NN cost: 6737, GAP: 28.153%, time: 0.053s
[25/228] Instance: u1432, dim: 1432, BKS: 152970, NN cost: 188807, GAP: 23.427%, time: 0.053s
[26/228] Instance: portcgen-10000-100001, dim: 10000, BKS: 33186248, NN cost: 42203398, GAP: 27.171%, time: 1.621s
[27/228] Instance: portcgen-100000-100000, dim: 100000, BKS: 104617752, NN cost: 137275279, GAP: 31.216%, time: 175.411s
[28/228] Instance: dka1376, dim: 1376, BKS: 4666, NN cost: 5791, GAP: 24.111%, time: 0.049s
[29/228] Instance: rby1599, dim: 1599, BKS: 5533, NN cost: 6818, GAP: 23.224%, time: 0.063s
[30/228] Instance: dj38, dim: 38, BKS: 6656, NN cost: 9745, GAP: 46.409%, time: 0.001s
[31/228] Instance: u2152, dim: 2152, BKS: 64253, NN cost: 79260, GAP: 23.356%, time: 0.102s
[32/228] Instance: uy734, dim: 734, BKS: 79114, NN cost: 99247, GAP: 25.448%, time: 0.019s
[33/228] Instance: pcb1173, dim: 1173, BKS: 56892, NN cost: 71978, GAP: 26.517%, time: 0.039s
[34/228] Instance: pr1002, dim: 1002, BKS: 259045, NN cost: 331103, GAP: 27.817%, time: 0.030s
[35/228] Instance: rl1889, dim: 1889, BKS: 316536, NN cost: 389270, GAP: 22.978%, time: 0.082s
[36/228] Instance: xrh24104, dim: 24104, BKS: 69294, NN cost: 85229, GAP: 22.996%, time: 9.208s
[37/228] Instance: lsb22777, dim: 22777, BKS: 60977, NN cost: 76474, GAP: 25.415%, time: 7.896s
[38/228] Instance: djb2036, dim: 2036, BKS: 6197, NN cost: 7779, GAP: 25.528%, time: 0.093s
[39/228] Instance: d1291, dim: 1291, BKS: 50801, NN cost: 60214, GAP: 18.529%, time: 0.044s
[40/228] Instance: lsm2854, dim: 2854, BKS: 8014, NN cost: 10052, GAP: 25.430%, time: 0.166s
[41/228] Instance: portcgen-1000-10008, dim: 1000, BKS: 11605723, NN cost: 14972060, GAP: 29.006%, time: 0.030s
[42/228] Instance: pjh17845, dim: 17845, BKS: 48092, NN cost: 60096, GAP: 24.960%, time: 4.933s
[43/228] Instance: xqf131, dim: 131, BKS: 564, NN cost: 704, GAP: 24.823%, time: 0.002s
[44/228] Instance: vm1748, dim: 1748, BKS: 336556, NN cost: 408102, GAP: 21.258%, time: 0.073s
[45/228] Instance: xqd4966, dim: 4966, BKS: 15316, NN cost: 20365, GAP: 32.966%, time: 0.444s
[46/228] Instance: dsj1000, dim: 1000, BKS: 18660188, NN cost: 24631468, GAP: 32.000%, time: 0.029s
[47/228] Instance: eil101, dim: 101, BKS: 629, NN cost: 803, GAP: 27.663%, time: 0.001s
[48/228] Instance: sw24978, dim: 24978, BKS: 855597, NN cost: 1067478, GAP: 24.764%, time: 9.488s
[49/228] Instance: portcgen-1000-10005, dim: 1000, BKS: 11394911, NN cost: 14359851, GAP: 26.020%, time: 0.030s
[50/228] Instance: fra1488, dim: 1488, BKS: 4264, NN cost: 5589, GAP: 31.074%, time: 0.056s
[51/228] Instance: bm33708, dim: 33708, BKS: 959289, NN cost: 1195683, GAP: 24.643%, time: 17.314s
[52/228] Instance: portcgen-1000-10002, dim: 1000, BKS: 10855033, NN cost: 14148760, GAP: 30.343%, time: 0.030s
[53/228] Instance: pr107, dim: 107, BKS: 44303, NN cost: 46680, GAP: 5.365%, time: 0.002s
[54/228] Instance: fl1577, dim: 1577, BKS: 22249, NN cost: 27996, GAP: 25.830%, time: 0.061s
[55/228] Instance: portcgen-1000-10006, dim: 1000, BKS: 10166701, NN cost: 13195222, GAP: 29.789%, time: 0.030s
[56/228] Instance: pcb442, dim: 442, BKS: 50778, NN cost: 61979, GAP: 22.059%, time: 0.009s
[57/228] Instance: pbk411, dim: 411, BKS: 1343, NN cost: 1784, GAP: 32.837%, time: 0.009s
[58/228] Instance: xua3937, dim: 3937, BKS: 11239, NN cost: 13967, GAP: 24.273%, time: 0.292s
[59/228] Instance: dlb3694, dim: 3694, BKS: 10959, NN cost: 13876, GAP: 26.617%, time: 0.260s
[60/228] Instance: dcb2086, dim: 2086, BKS: 6600, NN cost: 8112, GAP: 22.909%, time: 0.097s
[61/228] Instance: bch2762, dim: 2762, BKS: 8234, NN cost: 10318, GAP: 25.310%, time: 0.156s
[62/228] Instance: a280, dim: 280, BKS: 2579, NN cost: 3157, GAP: 22.412%, time: 0.005s
[63/228] Instance: xit1083, dim: 1083, BKS: 3558, NN cost: 4563, GAP: 28.246%, time: 0.034s
[64/228] Instance: kroB150, dim: 150, BKS: 26130, NN cost: 34499, GAP: 32.028%, time: 0.002s
[65/228] Instance: portcgen-1000-10003, dim: 1000, BKS: 11886457, NN cost: 15312594, GAP: 28.824%, time: 0.030s
[66/228] Instance: xrb14233, dim: 14233, BKS: 45462, NN cost: 56375, GAP: 24.005%, time: 3.269s
[67/228] Instance: fea5557, dim: 5557, BKS: 15445, NN cost: 18855, GAP: 22.078%, time: 0.546s
[68/228] Instance: portcgen-3162-31622, dim: 3162, BKS: 19547551, NN cost: 25314111, GAP: 29.500%, time: 0.198s
[69/228] Instance: kroB200, dim: 200, BKS: 29437, NN cost: 36980, GAP: 25.624%, time: 0.003s
[70/228] Instance: pr76, dim: 76, BKS: 108159, NN cost: 153462, GAP: 41.886%, time: 0.001s
[71/228] Instance: kroC100, dim: 100, BKS: 20749, NN cost: 26227, GAP: 26.401%, time: 0.001s
[72/228] Instance: xmc10150, dim: 10150, BKS: 28387, NN cost: 34958, GAP: 23.148%, time: 1.668s
[73/228] Instance: d15112, dim: 15112, BKS: 1573084, NN cost: 1960503, GAP: 24.628%, time: 3.587s
[74/228] Instance: xsc6880, dim: 6880, BKS: 21535, NN cost: 27185, GAP: 26.236%, time: 0.816s
[75/228] Instance: boa28924, dim: 28924, BKS: 79622, NN cost: 97804, GAP: 22.835%, time: 12.602s
[76/228] Instance: qa194, dim: 194, BKS: 9352, NN cost: 11640, GAP: 24.465%, time: 0.003s
[77/228] Instance: dan59296, dim: 59296, BKS: 165371, NN cost: 205585, GAP: 24.317%, time: 56.444s
[78/228] Instance: portcgen-3162-3162, dim: 3162, BKS: 19198258, NN cost: 24402718, GAP: 27.109%, time: 0.199s
[79/228] Instance: dke3097, dim: 3097, BKS: 10539, NN cost: 12891, GAP: 22.317%, time: 0.190s
[80/228] Instance: icx28698, dim: 28698, BKS: 78087, NN cost: 97456, GAP: 24.804%, time: 12.342s
[81/228] Instance: fjs3649, dim: 3649, BKS: 9272, NN cost: 12886, GAP: 38.978%, time: 0.259s
[82/228] Instance: pbl395, dim: 395, BKS: 1281, NN cost: 1618, GAP: 26.308%, time: 0.008s
[83/228] Instance: bgf4475, dim: 4475, BKS: 13221, NN cost: 16502, GAP: 24.817%, time: 0.365s
[84/228] Instance: ar9152, dim: 9152, BKS: 837479, NN cost: 1070701, GAP: 27.848%, time: 1.368s
[85/228] Instance: d18512, dim: 18512, BKS: 645238, NN cost: 799220, GAP: 23.864%, time: 5.321s
[86/228] Instance: ley2323, dim: 2323, BKS: 8352, NN cost: 10382, GAP: 24.306%, time: 0.116s
[87/228] Instance: bier127, dim: 127, BKS: 118282, NN cost: 135737, GAP: 14.757%, time: 0.002s
[88/228] Instance: pm8079, dim: 8079, BKS: 114855, NN cost: 151138, GAP: 31.590%, time: 1.086s
[89/228] Instance: xia16928, dim: 16928, BKS: 52850, NN cost: 66844, GAP: 26.479%, time: 4.488s
[90/228] Instance: mo14185, dim: 14185, BKS: 427377, NN cost: 542654, GAP: 26.973%, time: 3.155s
