Processing problem size: 100
Please wait, computing 10000 TSP100 instances...
[1/10000] Instance: TSP100_0, dim: 100, BKS: 7.4015, NN cost: 9.1535, GAP: 23.6711%
[2/10000] Instance: TSP100_1, dim: 100, BKS: 7.5464, NN cost: 9.2319, GAP: 22.3344%
[3/10000] Instance: TSP100_2, dim: 100, BKS: 7.4997, NN cost: 9.8834, GAP: 31.7837%
[4/10000] Instance: TSP100_3, dim: 100, BKS: 7.7810, NN cost: 10.0826, GAP: 29.5808%
[5/10000] Instance: TSP100_4, dim: 100, BKS: 7.6244, NN cost: 9.7459, GAP: 27.8248%
[6/10000] Instance: TSP100_5, dim: 100, BKS: 8.1808, NN cost: 10.3987, GAP: 27.1109%
[7/10000] Instance: TSP100_6, dim: 100, BKS: 7.6561, NN cost: 9.2319, GAP: 20.5827%
[8/10000] Instance: TSP100_7, dim: 100, BKS: 7.8286, NN cost: 10.5826, GAP: 35.1786%
[9/10000] Instance: TSP100_8, dim: 100, BKS: 7.4745, NN cost: 9.2451, GAP: 23.6889%
[10/10000] Instance: TSP100_9, dim: 100, BKS: 7.8705, NN cost: 9.8999, GAP: 25.7838%
[11/10000] Instance: TSP100_10, dim: 100, BKS: 6.9333, NN cost: 8.3310, GAP: 20.1589%
[12/10000] Instance: TSP100_11, dim: 100, BKS: 7.9335, NN cost: 9.7253, GAP: 22.5857%
[13/10000] Instance: TSP100_12, dim: 100, BKS: 7.4774, NN cost: 9.2931, GAP: 24.2815%
[14/10000] Instance: TSP100_13, dim: 100, BKS: 7.6025, NN cost: 9.8386, GAP: 29.4129%
[15/10000] Instance: TSP100_14, dim: 100, BKS: 7.6335, NN cost: 9.6507, GAP: 26.4262%
[16/10000] Instance: TSP100_15, dim: 100, BKS: 7.6375, NN cost: 8.6711, GAP: 13.5334%
[17/10000] Instance: TSP100_16, dim: 100, BKS: 7.6237, NN cost: 9.5919, GAP: 25.8164%
[18/10000] Instance: TSP100_17, dim: 100, BKS: 7.3008, NN cost: 9.0398, GAP: 23.8185%
[19/10000] Instance: TSP100_18, dim: 100, BKS: 7.9653, NN cost: 10.6341, GAP: 33.5045%
[20/10000] Instance: TSP100_19, dim: 100, BKS: 8.0062, NN cost: 10.4528, GAP: 30.5579%
[21/10000] Instance: TSP100_20, dim: 100, BKS: 7.8161, NN cost: 9.6404, GAP: 23.3404%
[22/10000] Instance: TSP100_21, dim: 100, BKS: 7.8538, NN cost: 9.1280, GAP: 16.2235%
[23/10000] Instance: TSP100_22, dim: 100, BKS: 7.9850, NN cost: 9.7620, GAP: 22.2545%
[24/10000] Instance: TSP100_23, dim: 100, BKS: 8.0294, NN cost: 10.9696, GAP: 36.6183%
[25/10000] Instance: TSP100_24, dim: 100, BKS: 7.5867, NN cost: 10.3211, GAP: 36.0425%
[26/10000] Instance: TSP100_25, dim: 100, BKS: 8.0426, NN cost: 9.5213, GAP: 18.3859%
[27/10000] Instance: TSP100_26, dim: 100, BKS: 8.2189, NN cost: 10.1109, GAP: 23.0189%
[28/10000] Instance: TSP100_27, dim: 100, BKS: 8.0092, NN cost: 9.2319, GAP: 15.2665%
[29/10000] Instance: TSP100_28, dim: 100, BKS: 7.9386, NN cost: 9.6842, GAP: 21.9884%
[30/10000] Instance: TSP100_29, dim: 100, BKS: 7.8951, NN cost: 10.9761, GAP: 39.0230%
[31/10000] Instance: TSP100_30, dim: 100, BKS: 7.7015, NN cost: 9.0806, GAP: 17.9072%
[32/10000] Instance: TSP100_31, dim: 100, BKS: 7.6972, NN cost: 9.2132, GAP: 19.6950%
[33/10000] Instance: TSP100_32, dim: 100, BKS: 7.6291, NN cost: 8.7210, GAP: 14.3131%
[34/10000] Instance: TSP100_33, dim: 100, BKS: 7.3913, NN cost: 9.0208, GAP: 22.0455%
[35/10000] Instance: TSP100_34, dim: 100, BKS: 7.7174, NN cost: 9.6172, GAP: 24.6176%
[36/10000] Instance: TSP100_35, dim: 100, BKS: 7.6620, NN cost: 10.2102, GAP: 33.2578%
[37/10000] Instance: TSP100_36, dim: 100, BKS: 7.4267, NN cost: 8.5022, GAP: 14.4815%
[38/10000] Instance: TSP100_37, dim: 100, BKS: 7.3946, NN cost: 9.3296, GAP: 26.1685%
[39/10000] Instance: TSP100_38, dim: 100, BKS: 7.3868, NN cost: 8.8810, GAP: 20.2277%
[40/10000] Instance: TSP100_39, dim: 100, BKS: 7.9156, NN cost: 9.4660, GAP: 19.5863%
[41/10000] Instance: TSP100_40, dim: 100, BKS: 7.4666, NN cost: 10.0573, GAP: 34.6970%
[42/10000] Instance: TSP100_41, dim: 100, BKS: 7.9842, NN cost: 9.7951, GAP: 22.6799%
[43/10000] Instance: TSP100_42, dim: 100, BKS: 8.1129, NN cost: 10.4398, GAP: 28.6813%
[44/10000] Instance: TSP100_43, dim: 100, BKS: 8.0049, NN cost: 10.0830, GAP: 25.9613%
[45/10000] Instance: TSP100_44, dim: 100, BKS: 8.0385, NN cost: 10.3204, GAP: 28.3859%
[46/10000] Instance: TSP100_45, dim: 100, BKS: 7.9239, NN cost: 9.0174, GAP: 13.8001%
[47/10000] Instance: TSP100_46, dim: 100, BKS: 8.1442, NN cost: 10.7149, GAP: 31.5650%
[48/10000] Instance: TSP100_47, dim: 100, BKS: 8.1284, NN cost: 9.9735, GAP: 22.6994%
[49/10000] Instance: TSP100_48, dim: 100, BKS: 7.6976, NN cost: 10.4889, GAP: 36.2629%
[50/10000] Instance: TSP100_49, dim: 100, BKS: 7.7730, NN cost: 9.8999, GAP: 27.3623%
[51/10000] Instance: TSP100_50, dim: 100, BKS: 7.8450, NN cost: 9.8242, GAP: 25.2278%
[52/10000] Instance: TSP100_51, dim: 100, BKS: 8.0841, NN cost: 10.1546, GAP: 25.6119%
[53/10000] Instance: TSP100_52, dim: 100, BKS: 7.3453, NN cost: 8.4320, GAP: 14.7956%
[54/10000] Instance: TSP100_53, dim: 100, BKS: 7.4022, NN cost: 10.3169, GAP: 39.3767%
[55/10000] Instance: TSP100_54, dim: 100, BKS: 7.7375, NN cost: 10.0426, GAP: 29.7916%
[56/10000] Instance: TSP100_55, dim: 100, BKS: 7.8524, NN cost: 9.6313, GAP: 22.6546%
[57/10000] Instance: TSP100_56, dim: 100, BKS: 7.5097, NN cost: 9.9883, GAP: 33.0060%
[58/10000] Instance: TSP100_57, dim: 100, BKS: 7.6133, NN cost: 9.0646, GAP: 19.0624%
[59/10000] Instance: TSP100_58, dim: 100, BKS: 7.8500, NN cost: 9.1340, GAP: 16.3558%
[60/10000] Instance: TSP100_59, dim: 100, BKS: 8.1864, NN cost: 10.3537, GAP: 26.4748%
[61/10000] Instance: TSP100_60, dim: 100, BKS: 7.7173, NN cost: 9.7182, GAP: 25.9276%
[62/10000] Instance: TSP100_61, dim: 100, BKS: 7.5948, NN cost: 9.6578, GAP: 27.1626%
[63/10000] Instance: TSP100_62, dim: 100, BKS: 7.9622, NN cost: 10.8134, GAP: 35.8094%
[64/10000] Instance: TSP100_63, dim: 100, BKS: 7.7132, NN cost: 9.3550, GAP: 21.2863%
[65/10000] Instance: TSP100_64, dim: 100, BKS: 7.4395, NN cost: 7.8737, GAP: 5.8372%
[66/10000] Instance: TSP100_65, dim: 100, BKS: 7.6764, NN cost: 9.9036, GAP: 29.0140%
[67/10000] Instance: TSP100_66, dim: 100, BKS: 7.8342, NN cost: 9.4690, GAP: 20.8676%
[68/10000] Instance: TSP100_67, dim: 100, BKS: 7.8200, NN cost: 9.3546, GAP: 19.6245%
[69/10000] Instance: TSP100_68, dim: 100, BKS: 7.7176, NN cost: 9.8714, GAP: 27.9071%
[70/10000] Instance: TSP100_69, dim: 100, BKS: 7.3761, NN cost: 9.8822, GAP: 33.9769%
[71/10000] Instance: TSP100_70, dim: 100, BKS: 7.6202, NN cost: 9.5826, GAP: 25.7521%
[72/10000] Instance: TSP100_71, dim: 100, BKS: 7.5975, NN cost: 8.5777, GAP: 12.9009%
[73/10000] Instance: TSP100_72, dim: 100, BKS: 7.7456, NN cost: 8.9629, GAP: 15.7167%
[74/10000] Instance: TSP100_73, dim: 100, BKS: 7.5293, NN cost: 9.6533, GAP: 28.2102%
[75/10000] Instance: TSP100_74, dim: 100, BKS: 7.8623, NN cost: 9.7383, GAP: 23.8609%
[76/10000] Instance: TSP100_75, dim: 100, BKS: 8.0402, NN cost: 8.9662, GAP: 11.5174%
[77/10000] Instance: TSP100_76, dim: 100, BKS: 7.7249, NN cost: 9.1986, GAP: 19.0772%
[78/10000] Instance: TSP100_77, dim: 100, BKS: 7.8939, NN cost: 10.4136, GAP: 31.9189%
[79/10000] Instance: TSP100_78, dim: 100, BKS: 7.9382, NN cost: 10.8695, GAP: 36.9275%
[80/10000] Instance: TSP100_79, dim: 100, BKS: 8.1931, NN cost: 9.2951, GAP: 13.4509%
[81/10000] Instance: TSP100_80, dim: 100, BKS: 7.6263, NN cost: 9.8485, GAP: 29.1388%
[82/10000] Instance: TSP100_81, dim: 100, BKS: 7.6861, NN cost: 9.2403, GAP: 20.2212%
[83/10000] Instance: TSP100_82, dim: 100, BKS: 7.7721, NN cost: 9.3508, GAP: 20.3127%
[84/10000] Instance: TSP100_83, dim: 100, BKS: 7.6424, NN cost: 10.4902, GAP: 37.2630%
[85/10000] Instance: TSP100_84, dim: 100, BKS: 7.8682, NN cost: 10.0600, GAP: 27.8563%
[86/10000] Instance: TSP100_85, dim: 100, BKS: 7.1668, NN cost: 8.7524, GAP: 22.1238%
[87/10000] Instance: TSP100_86, dim: 100, BKS: 7.9583, NN cost: 9.3580, GAP: 17.5885%
[88/10000] Instance: TSP100_87, dim: 100, BKS: 8.1434, NN cost: 10.4367, GAP: 28.1617%
[89/10000] Instance: TSP100_88, dim: 100, BKS: 8.1066, NN cost: 10.5345, GAP: 29.9491%
[90/10000] Instance: TSP100_89, dim: 100, BKS: 7.9311, NN cost: 10.8971, GAP: 37.3959%
[91/10000] Instance: TSP100_90, dim: 100, BKS: 7.6202, NN cost: 9.5139, GAP: 24.8514%
[92/10000] Instance: TSP100_91, dim: 100, BKS: 7.8704, NN cost: 9.7868, GAP: 24.3484%
[93/10000] Instance: TSP100_92, dim: 100, BKS: 7.3402, NN cost: 8.8929, GAP: 21.1540%
[94/10000] Instance: TSP100_93, dim: 100, BKS: 7.3039, NN cost: 9.6307, GAP: 31.8569%
[95/10000] Instance: TSP100_94, dim: 100, BKS: 7.6361, NN cost: 9.0633, GAP: 18.6894%
[96/10000] Instance: TSP100_95, dim: 100, BKS: 7.8069, NN cost: 9.7410, GAP: 24.7755%
[97/10000] Instance: TSP100_96, dim: 100, BKS: 7.5459, NN cost: 8.8970, GAP: 17.9058%
[98/10000] Instance: TSP100_97, dim: 100, BKS: 7.5044, NN cost: 8.8370, GAP: 17.7574%
[99/10000] Instance: TSP100_98, dim: 100, BKS: 7.3343, NN cost: 9.0539, GAP: 23.4463%
[100/10000] Instance: TSP100_99, dim: 100, BKS: 7.7993, NN cost: 10.4406, GAP: 33.8664%
[101/10000] Instance: TSP100_100, dim: 100, BKS: 7.4852, NN cost: 9.7759, GAP: 30.6025%
[102/10000] Instance: TSP100_101, dim: 100, BKS: 7.8634, NN cost: 9.0919, GAP: 15.6230%
[103/10000] Instance: TSP100_102, dim: 100, BKS: 7.8432, NN cost: 8.9976, GAP: 14.7194%
[104/10000] Instance: TSP100_103, dim: 100, BKS: 7.7877, NN cost: 9.9551, GAP: 27.8324%
[105/10000] Instance: TSP100_104, dim: 100, BKS: 7.4329, NN cost: 9.2639, GAP: 24.6342%
[106/10000] Instance: TSP100_105, dim: 100, BKS: 7.9444, NN cost: 10.2382, GAP: 28.8733%
[107/10000] Instance: TSP100_106, dim: 100, BKS: 7.5677, NN cost: 10.5125, GAP: 38.9123%
[108/10000] Instance: TSP100_107, dim: 100, BKS: 7.7317, NN cost: 9.1528, GAP: 18.3805%
[109/10000] Instance: TSP100_108, dim: 100, BKS: 7.6836, NN cost: 10.2597, GAP: 33.5280%
[110/10000] Instance: TSP100_109, dim: 100, BKS: 7.3418, NN cost: 9.3496, GAP: 27.3472%
[111/10000] Instance: TSP100_110, dim: 100, BKS: 7.5991, NN cost: 9.3834, GAP: 23.4799%
[112/10000] Instance: TSP100_111, dim: 100, BKS: 7.3997, NN cost: 8.8112, GAP: 19.0760%
[113/10000] Instance: TSP100_112, dim: 100, BKS: 7.9514, NN cost: 9.4491, GAP: 18.8352%
[114/10000] Instance: TSP100_113, dim: 100, BKS: 7.6271, NN cost: 8.9194, GAP: 16.9440%
[115/10000] Instance: TSP100_114, dim: 100, BKS: 7.8544, NN cost: 9.3225, GAP: 18.6903%
[116/10000] Instance: TSP100_115, dim: 100, BKS: 7.6752, NN cost: 9.7141, GAP: 26.5646%
[117/10000] Instance: TSP100_116, dim: 100, BKS: 7.7953, NN cost: 9.3488, GAP: 19.9284%
[118/10000] Instance: TSP100_117, dim: 100, BKS: 7.8592, NN cost: 9.8148, GAP: 24.8829%
[119/10000] Instance: TSP100_118, dim: 100, BKS: 7.6570, NN cost: 9.7457, GAP: 27.2787%
[120/10000] Instance: TSP100_119, dim: 100, BKS: 7.6012, NN cost: 10.0714, GAP: 32.4970%
[121/10000] Instance: TSP100_120, dim: 100, BKS: 7.5930, NN cost: 9.4998, GAP: 25.1127%
[122/10000] Instance: TSP100_121, dim: 100, BKS: 7.8959, NN cost: 9.4800, GAP: 20.0627%
[123/10000] Instance: TSP100_122, dim: 100, BKS: 7.7159, NN cost: 9.6722, GAP: 25.3545%
[124/10000] Instance: TSP100_123, dim: 100, BKS: 7.5390, NN cost: 9.6076, GAP: 27.4384%
[125/10000] Instance: TSP100_124, dim: 100, BKS: 7.6515, NN cost: 8.8314, GAP: 15.4212%
[126/10000] Instance: TSP100_125, dim: 100, BKS: 7.9251, NN cost: 9.7900, GAP: 23.5314%
[127/10000] Instance: TSP100_126, dim: 100, BKS: 7.9959, NN cost: 9.5270, GAP: 19.1486%
[128/10000] Instance: TSP100_127, dim: 100, BKS: 7.8629, NN cost: 10.3836, GAP: 32.0592%
[129/10000] Instance: TSP100_128, dim: 100, BKS: 7.2570, NN cost: 8.4926, GAP: 17.0259%
[130/10000] Instance: TSP100_129, dim: 100, BKS: 7.5681, NN cost: 9.6767, GAP: 27.8617%
[131/10000] Instance: TSP100_130, dim: 100, BKS: 7.7525, NN cost: 9.4656, GAP: 22.0963%
[132/10000] Instance: TSP100_131, dim: 100, BKS: 7.7255, NN cost: 10.3744, GAP: 34.2874%
[133/10000] Instance: TSP100_132, dim: 100, BKS: 7.5248, NN cost: 8.8649, GAP: 17.8094%
[134/10000] Instance: TSP100_133, dim: 100, BKS: 7.6300, NN cost: 8.7079, GAP: 14.1264%
[135/10000] Instance: TSP100_134, dim: 100, BKS: 7.6908, NN cost: 8.2543, GAP: 7.3271%
[136/10000] Instance: TSP100_135, dim: 100, BKS: 7.2557, NN cost: 9.1064, GAP: 25.5060%
[137/10000] Instance: TSP100_136, dim: 100, BKS: 7.7975, NN cost: 9.1686, GAP: 17.5844%
[138/10000] Instance: TSP100_137, dim: 100, BKS: 7.9660, NN cost: 9.9032, GAP: 24.3185%
[139/10000] Instance: TSP100_138, dim: 100, BKS: 7.4023, NN cost: 8.6270, GAP: 16.5450%
[140/10000] Instance: TSP100_139, dim: 100, BKS: 7.9097, NN cost: 9.6863, GAP: 22.4609%
[141/10000] Instance: TSP100_140, dim: 100, BKS: 7.5039, NN cost: 9.4615, GAP: 26.0875%
[142/10000] Instance: TSP100_141, dim: 100, BKS: 7.8871, NN cost: 9.1155, GAP: 15.5741%
[143/10000] Instance: TSP100_142, dim: 100, BKS: 7.5951, NN cost: 9.2612, GAP: 21.9360%
[144/10000] Instance: TSP100_143, dim: 100, BKS: 7.9982, NN cost: 10.2476, GAP: 28.1245%
[145/10000] Instance: TSP100_144, dim: 100, BKS: 7.7825, NN cost: 9.5770, GAP: 23.0580%
[146/10000] Instance: TSP100_145, dim: 100, BKS: 7.7917, NN cost: 9.4551, GAP: 21.3487%
[147/10000] Instance: TSP100_146, dim: 100, BKS: 7.7722, NN cost: 9.7482, GAP: 25.4240%
[148/10000] Instance: TSP100_147, dim: 100, BKS: 7.4202, NN cost: 10.3496, GAP: 39.4794%
[149/10000] Instance: TSP100_148, dim: 100, BKS: 7.9190, NN cost: 9.8690, GAP: 24.6250%
[150/10000] Instance: TSP100_149, dim: 100, BKS: 7.3545, NN cost: 8.5474, GAP: 16.2199%
[151/10000] Instance: TSP100_150, dim: 100, BKS: 8.0791, NN cost: 11.7915, GAP: 45.9504%
[152/10000] Instance: TSP100_151, dim: 100, BKS: 7.3937, NN cost: 8.7085, GAP: 17.7829%
[153/10000] Instance: TSP100_152, dim: 100, BKS: 7.7796, NN cost: 9.5131, GAP: 22.2833%
[154/10000] Instance: TSP100_153, dim: 100, BKS: 8.2042, NN cost: 10.3120, GAP: 25.6927%
[155/10000] Instance: TSP100_154, dim: 100, BKS: 7.5244, NN cost: 9.4131, GAP: 25.1008%
[156/10000] Instance: TSP100_155, dim: 100, BKS: 7.9082, NN cost: 9.6433, GAP: 21.9408%
[157/10000] Instance: TSP100_156, dim: 100, BKS: 7.5275, NN cost: 8.4402, GAP: 12.1254%
[158/10000] Instance: TSP100_157, dim: 100, BKS: 7.8653, NN cost: 10.1845, GAP: 29.4860%
[159/10000] Instance: TSP100_158, dim: 100, BKS: 7.7428, NN cost: 9.6381, GAP: 24.4778%
[160/10000] Instance: TSP100_159, dim: 100, BKS: 7.3059, NN cost: 8.9111, GAP: 21.9707%
